,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
9234,Restaurante Lasarte,,,4.5,,"C/ Mallorca, 259","Mallorca, Carrer de Mallorca, 08009 Barcelona, Spain",41.3968924,2.1667115
9235,Kobuta Ramen i mes,,€9 - €16,4.5,,Carrer de Suria 6,"Kobuta ramen i més, Carrer de Súria, 6, 08014 Barcelona, Spain",41.3698057,2.1332507
9236,My Way,,,4.5,,Carrer de les Heures 4-10,"My Way restaurant lounge bar, Carrer de les Heures, 4-10, 08002 Barcelona, Spain",41.3808801,2.1754294
9237,Lo De Flor,,€23 - €41,4.5,,Carrer de les Carretes 18,"Carrer de les Carretes, 08001 Barcelona, Spain",41.3774375,2.1674209
9238,Pasapalo,,€3 - €8,4.5,,"Carrer Del Poeta Cabanyes, 6","Carrer del Poeta Cabanyes, 08880 Cubelles, Spain",41.2048774,1.6725328
9239,Sasha Bar 1968,,€7 - €20,4.5,,Calle Margarit 18,"Carrer d'Adrià Margarit, 08022 Barcelona, Spain",41.414123,2.1312229
9240,Kimchi Mama,,"Asian, Korean",5.0,,Callao 12,"Passeig del Callao, Mataró, Spain",41.5356283,2.4490819
9241,Urretxu,,"Mediterranean, Spanish",4.5,,"Carrer de la Marina, 64","Carrer de la Marina, 64, 08005 Barcelona, Spain",41.3919914,2.1910255
9242,Vegetalia Raval,,€10 - €20,4.5,,Placa Emili Vendrell 1,"Emili Vendrell, Plaça d'Emili Vendrell, Barcelona, Spain",41.3814065,2.1668828
9243,Somodo,,"Mediterranean, European, Contemporary",4.5,,Carrer de Ros de Olano 11,"Carrer de Ros de Olano, 08012 Barcelona, Spain",41.4014694,2.1554935
9244,Sabor Persa,,"Middle Eastern, Persian",4.5,,Calle Valencia 210,"Carrer Valencia, 08770 Sant Sadurní d'Anoia, Spain",41.4281682,1.7826155
9245,Mo Te Magno,,,4.5,,Calle Provenca 16,"Carrer Provença, 08770 Sant Sadurní d'Anoia, Spain",41.4244026,1.7845184
9246,La Perillosa,,"Mediterranean, Spanish, European",4.5,,C/Rabassa 37,"Rabassa, Carrer de Rabassa, 5, 08024 Barcelona, Spain",41.4069631,2.1586352
9247,A Gaudir,,€17 - €40,4.0,,"Carrer Arago, 111","Carrer Aragó, 08870 Sitges, Spain",41.2387213,1.8155559
9248,Mi Gracia,,"Argentinean, South American",4.5,,"Calle Encarnacio, 52","Catalonia, Spain",41.66667,2.0
9249,Milk Bar & Bistro,,,4.5,,Calle Gignas 21,"Milk Bar & Bistro, Carrer d'en Gignàs, 21, 08002 Barcelona, Spain",41.3813306,2.1801063
9250,El Casal,,€4 - €17,4.5,,Placa Victor Balaguer 5,"Plaça de Victor Balaguer, Sant Cugat del Vallès, Spain",41.4662151,2.0366009
9251,Carabela Cafe,,€5 - €20,4.5,,"Pas de Sota Muralla, 3","Pas de Sota Muralla, CP 08003 Barcelona, Spain",41.3812448,2.1830723
9252,The Pan's Club,,"Mediterranean, Healthy, Street Food",4.5,,"Placa de la Llana, 16","Plaça de la Llana, Barcelona, Spain",41.3850659,2.1793409
9253,Orvay,,€15 - €30,4.5,,Passeig del Born 4,"Passeig del Born, Barcelona, Spain",41.384793,2.1828281
9254,Cruix,,,4.5,,Carrer d'entenca 57,"Cruix, Carrer d'Entença, 57, 8015 Barcelona, Spain",41.3781721,2.1522428
9255,Beam,,,4.5,,"Calle Diputacion, 200","Catalonia, Spain",41.66667,2.0
9256,Cinc Sentits,,€99 - €119,4.5,,Carrer d'Entenca 60,"Carrer d'Entença, 60, 8015 Barcelona, Spain",41.3780058,2.1530728
9257,Tucco Real Food,,€5 - €15,4.5,,Carrer Consolat de Mar 23,"Catalonia, Spain",41.66667,2.0
9258,L'Orwell,,€11 - €30,4.5,,Carrer N'Ara 1,"Nara, Passeig del Mossen Jaume Gordi, 4, 08921 Santa Coloma de Gramenet, Spain",41.4521008,2.2101677
9259,Futballarium Barcelona,,,4.5,,Carrer de Benavent 7.,"Carrer de Benavent, 08397 Pineda de Mar, Spain",41.6231852,2.6731744
9260,Bo de Boqueria,,,4.5,,Carrer de Petxina 5-7,"Carrer de la Petxina, 08001 Barcelona, Spain",41.3816078,2.1726406
9261,Koy Shunka,,,4.5,,"Carrer de Copons, 7","Carrer de Copons, 08700 Igualada, Spain",41.5886494,1.6080706
9262,Petit Pau Restaurant,,€40 - €75,4.5,,Carrer de l'Espanya Industrial num. 22,"Catalonia, Spain",41.66667,2.0
9263,Gourmet Tapas by Sensi,,,4.5,,Calle de Milans 4,"Gourmet tapas by SENSI, Carrer de Milans, 4, 08002 Barcelona, Spain",41.3806249,2.1795241
9264,La Mama Acasa,,€6 - €20,5.0,,Calle Guitard 41,"La Mama Acasa, Carrer Guitard, 41, 08014 Barcelona, Spain",41.3821691,2.1377309
9265,Restaurante Arume,,,4.5,,"Calle Botella, 11-13","Carrer d'En Botella, 08001 Barcelona, Spain",41.3787039,2.1658382
9266,Pizza Circus,,"Italian, Pizza, Fast Food",4.5,,Carrer Nou de la Rambla 40,"Pizza Circus, Carrer Nou de la Rambla, 40, 08001 Barcelona, Spain",41.3778452,2.1728957
9267,Palosanto,,"Bar, Mediterranean, European, Spanish, Catalan",4.5,,"Rambla Del Raval, 26","Rambla del Raval, Barcelona, Spain",41.3786363,2.1694027
9268,La Platilleria,,,4.5,,"Carrer del Roser, 82","La Platilleria, Carrer del Roser, 82, 08004 Barcelona, Spain",41.371618,2.1654532
9269,Season Restaurant Barcelona,,€15 - €30,4.5,,"Carrer d'Aribau, 125","Carrer d'Aribau, 125, 08036 Barcelona, Spain",41.3913273,2.155219
9270,La Come Dia,,,4.5,,"Carrer de la Franca Xica, 15","Carrer de la França Xica, 8015 Barcelona, Spain",41.3721089,2.1557152
9271,Aqui Quedamos,,€6 - €12,4.5,,"Violant D'hongria Reina D'arago, 60","Carrer de Violant d'Hongria Reina d'Aragó, 08028 Barcelona, Spain",41.3778112,2.1277724
9272,Vinitus Madrid-Barcelona,,€25 - €30,4.5,,"Carrer d'Arago, 282","Carrer d'Aragó, 282, 8007 Barcelona, Spain",41.39243,2.1657797
9273,El Xampanyet,,,4.5,,"Carrer de Montcada, 22","El Xampanyet, Carrer de Montcada, 22, CP 08003 Barcelona, Spain",41.3845086,2.1816748
9274,Entre Hores,,€3 - €15,4.5,,Calle Verdi 4-6,"Carrer Verdi, 08923 Santa Coloma de Gramenet, Spain",41.4517918,2.2192906
9275,Kane Room,,,4.5,,Plaza Real 11,"Royal Square, Barcelona, Spain",41.3800909,2.1750111
9276,Santamasa Sant Antoni,,€15 - €25,4.5,,"Ronda de Sant Antoni, 51","Ronda de Sant Antoni, 51, 08011 Barcelona, Spain",41.3832786,2.1633982
9277,Salterio,,,4.5,,"Carrer Sant Domenec del Call, 4","Catalonia, Spain",41.66667,2.0
9278,EdeNova,,"International, Catalan, Mediterranean, Spanish, European",5.0,,Carrer de Rossello 209,"Carrer de Rosselló, 08530 la Garriga, Spain",41.6781144,2.2882616
9279,Crosmas,,"Mediterranean, Spanish, Catalan, European",4.5,,Casanova 158,"Avinyó, Catalonia, Spain",41.8799485,1.9562008
9280,Foc i Oli Aribau,,,4.5,,"Carrer Aribau, 91","Aribau, 08204 Sabadell, Spain",41.5283818,2.1105725
9281,Kserol,,,4.5,,Carrer de Napols 182,"Kserol, Carrer de Nàpols, 182, 08013 Barcelona, Spain",41.3986236,2.1753141
9282,Gouthier,,"Seafood, Mediterranean, European",4.0,,C/ Mane I Flaquer 8,"carrer de Mañé i Flaquer, 08034 Barcelona, Spain",41.3972877,2.1243958
9283,PolkaBar,,€4 - €25,5.0,,Carrer Cabestany 7,"Granges Cabestany, l'Horta, Santa Fe del Penedès, Catalonia, Spain",41.3815389,1.7250957
9284,Gallo Nero,,€5 - €15,5.0,,"Carrer de Jaume I, 3","Haiti Bar, Carrer de Jaume I, 3, 08002 Barcelona, Spain",41.3830233,2.1774383
9285,Restaurante Renoi,,"Mediterranean, Spanish, Catalan",4.5,,c/ VALENCIA 509,"Valencia, Carrer de València, 08291 Ripollet, Spain",41.4943576,2.1695649
9286,Com a Italia,,€2 - €8,4.5,,"c/ Sant Quinti, 39","Sant Quintí, 08269 Cardona, Spain",41.8904023,1.6235716
9287,Casa Lolea Barcelona,,,4.5,,"Sant Pere Mes Alt, 49","Carrer de Sant Pere Més Alt, 08003 Barcelona, Spain",41.3883879,2.1766074
9288,Zed,,,4.5,,"Carrer Valencia, 399","Carrer Valencia, 08770 Sant Sadurní d'Anoia, Spain",41.4281682,1.7826155
9289,Oporto Restaurante,,,4.5,,"Carrer Sardenya, 296","Carrer Sardenya, 08192 Sant Quirze del Vallès, Spain",41.5298238,2.0708297
9290,BENZiNA,,,4.5,,"Passatge de Pere Calders, 6","Passatge de Pere Calders, 08213 Polinyà, Spain",41.5519682,2.156379
9291,Sensi Tapas,,,4.5,,Carrer Ample 26,"Sensi Tapas, Carrer Ample, 26, 08002 Barcelona, Spain",41.380334,2.1799583
9292,Tacos Tacos,,€10 - €15,4.0,,"Calle Tapioles, 9","Torrent de Tapioles, 08033 Barcelona, Spain",41.4633776,2.1832076
9293,Can Valles,,€30 - €36,4.5,,"Carrer d'Arago, 95. Entre Calabria y Rocafort","Rocafort, Catalonia, Spain",41.71552,1.93483
9294,Ginette,,,4.5,,Carrer del Rec Comtal 12,"Carrer del Rec Comtal, 08003 Barcelona, Spain",41.3898225,2.1799097
9295,Louro,,,4.5,,Rambla del Caputxins 37,"La Rambla, Rambla del Carme, 08500 Vic, Spain",41.9312616,2.2550572
9296,Tast-Ller,,€55 - €80,5.0,,Calle Viladomat 137,"Viladomat, Plaça de l'Ajuntament, 08698 la Nou de Berguedà, Spain",42.1671835,1.884449
9297,La Carmelina,,,4.5,,"Av. Litoral, Nova Icaria 620","Catalonia, Spain",41.66667,2.0
9298,Marisqueria Esthvan,,€30 - €60,4.5,,"Carrer de Palencia, 45","Carrer de Palència, 43-45, 08027 Barcelona, Spain",41.4186539,2.1908649
